State FIPS code,Date,All merchant category codes spending,Accommodation and food service (ACF) spending,"Arts, entertainment, and recreation (AER)  spending",General merchandise stores (GEN) and apparel and accessories (AAP) spending,Grocery and food store (GRF)  spending,Health care and social assistance (HCS) spending ,Transportation and warehousing (TWS)  spending,"Retail spending, including grocery  (AAP, CEC, GEN, GRF, HIC, ETC, SGH) ","Retail spending, excluding grocery ((AAP, CEC, GEN, HIC, ETC, SGH) "
3600,06/11/2021,13.6,10.6,-4.24,23.4,17.9,6.22,-25.2,22.7,26.5
4400,06/11/2021,7.39,-11.2,-31.2,12.5,14.3,10.7,31.4,25.3,35.1
900,06/12/2021,11.4,12.4,-8.83,29.3,25.6,4.97,-27.7,25.3,25.1
2500,06/12/2021,14.5,8.44,14.7,25.7,19.6,13.7,-33.3,25.3,30.8
3400,06/12/2021,18.6,16.6,32.3,34.5,15,16.7,-1.81,26.1,35.8
3600,06/12/2021,12.8,9.78,-6.83,23.6,16.7,6.26,-24.8,22.3,26.7
4400,06/12/2021,10.5,-11.2,-39.8,11.3,16.3,3.55,2.1,30.4,43.1
900,06/13/2021,11.1,12.4,-8.76,27.6,25.7,7.07,-27.5,25.1,24.7
2500,06/13/2021,14.2,9.49,13.3,26.6,20,14.6,-33.8,24.9,29.6
3400,06/13/2021,19.3,20.1,32,36.4,14.1,15.4,0.559,27.1,38.3
3600,06/13/2021,13.1,9.1,-7.05,23.9,16.3,4.78,-24.7,22.7,27.7
4400,06/13/2021,12.5,-14.3,-39.2,15.5,16.4,-3.63,5.05,31.2,45
900,06/14/2021,9.92,12.9,-6.69,24.9,25.7,11,-31.1,22.9,21.1
2500,06/14/2021,13.7,8.6,12.1,23.6,18.5,18.9,-30.4,23.2,27.6
3400,06/14/2021,16.1,17.9,33.2,31.6,8.01,13.9,-3.57,21.8,33.9
3600,06/14/2021,12.8,8.48,-8,22.4,14.5,6.2,-21.7,21.5,27.1
4400,06/14/2021,14.2,-14.7,-43.2,13.6,16.7,-13.6,1.41,30.6,43.7
900,06/15/2021,9.21,14.2,-8.32,22.7,23.5,13.6,-33.6,21.5,20.3
2500,06/15/2021,14.6,9.97,13.4,21,18.7,18.8,-29.6,20.9,23
3400,06/15/2021,15.8,16.7,30.8,30.1,7.48,14.8,-6.6,21.2,33.4
3600,06/15/2021,12.5,7.26,-5.63,20.7,12.5,7.36,-17.7,20.1,26.4
4400,06/15/2021,14,-11.3,-13.7,17.2,22.1,-17.2,-5.53,32,41.1
900,06/16/2021,8.88,12.4,-6.71,20.7,21.2,10.6,-30.3,21.2,21.2
2500,06/16/2021,14.5,8.15,13.1,20.7,21,13.3,-27.8,22.6,24
3400,06/16/2021,16.7,15.1,36.5,31.3,8.8,15.1,-8.74,22.9,35.7
3600,06/16/2021,13.1,4.6,-2.46,21.4,13,7.86,-15,20.9,27.5
4400,06/16/2021,12.4,-16.8,-2.58,16.4,19.8,-19.6,-7.61,27.1,33.2
900,06/17/2021,8.61,12.9,-6.81,19.9,20.7,6.39,-28.6,21.1,21.3
2500,06/17/2021,13.9,6.62,3.81,20.9,21,14.6,-26.1,22.1,23.2
3400,06/17/2021,16.3,14.7,32.5,30.5,11.1,10.8,-8.64,23.5,34.6
3600,06/17/2021,12.9,4.23,-4.73,22,14.4,6.28,-12.3,21.3,27
4400,06/17/2021,14,-21.1,-8.84,21.9,24.9,-11.9,57.5,30.1,34.3
900,06/18/2021,9.59,11.2,-5.03,24,25.1,5.04,-27.3,24.5,24.1
2500,06/18/2021,15.2,8.08,7.87,24.8,24.1,10.6,-23.7,25.2,26.1
3400,06/18/2021,17.9,15.6,34.8,33,14.9,10.8,-8.26,26.5,37
3600,06/18/2021,14.5,5.19,-3.61,24.7,17,8.08,-8.58,23.8,29.4
4400,06/18/2021,15,-21.2,-0.0905,24.1,24.2,-14,31.8,30.1,35.5
900,06/19/2021,9.81,10.8,-5.24,25.2,27.6,2.51,-25,26,24.9
2500,06/19/2021,17.1,8.13,13.5,21.8,27.9,14,-23.3,27.7,27.4
3400,06/19/2021,18.6,14.7,37.6,34.3,19,11.1,-9.75,28.7,37.6
3600,06/19/2021,15.7,5.45,-1.08,27.4,19.9,6.88,-8.14,26.2,31.5
4400,06/19/2021,14.4,-18,16.5,21.8,23.3,-21.3,40.6,28.2,32.7
900,06/20/2021,8.35,11.3,-4.65,25.6,28.4,1.44,-26.2,23.1,19.8
2500,06/20/2021,16.3,7.47,18,19,27.2,10.7,-23.7,27.4,27.6
3400,06/20/2021,17.8,12.9,41.1,31.4,20.6,12,-11.8,28.2,35.2
3600,06/20/2021,15.2,6.65,0.115,26,20.5,7.3,-8.06,25.3,29.1
4400,06/20/2021,15.2,-14.7,21.8,24.6,25.7,-30,33.1,30.1,34.6
900,06/21/2021,8.06,9.51,-5.98,26.9,27.4,-2.11,-24.9,25.1,23.6
2500,06/21/2021,16.7,8.22,19.1,19.9,28.5,6.8,-28.2,28.1,27.7
3400,06/21/2021,18.9,13.9,40.4,32.3,22.2,11.5,-10.6,29.1,35.5
3600,06/21/2021,15,6.46,1.62,27.3,20,6.53,-9.08,24.6,28.4
4400,06/21/2021,18,-12.6,41.9,27,25.2,-31.3,23.5,31.8,38.4
900,06/22/2021,9.07,9.16,-0.0044,29,30.2,-1.45,-28.8,26.9,24.8
2500,06/22/2021,16.6,8.33,15.8,21.5,28,4.7,-27.3,29.5,30.9
3400,06/22/2021,19.8,14.5,45.6,34.7,23.3,11,-10.3,30.9,37.9
3600,06/22/2021,15.7,6.78,1.24,28.5,21.7,4,-8.95,25.6,28.6
4400,06/22/2021,15,-15.6,18.2,26.6,14.7,-33.8,-36.9,29.2,44.2
900,06/23/2021,9.33,11.1,1.6,28.1,30.5,3.52,-28.4,25.8,22.8
2500,06/23/2021,17,9.51,17.7,22.4,26.3,5.54,-24,27.6,28.9
3400,06/23/2021,19.5,17,42,33.4,23.5,8.64,-8.85,30.1,36.3
3600,06/23/2021,15.7,9.46,1.21,27.7,21.4,4.21,-10.3,24.8,27.4
4400,06/23/2021,13.7,-12.8,8.16,25.7,16.5,-31.5,-40.1,31.1,46.2
900,06/24/2021,10.3,10.6,6.92,29.5,30.1,8.62,-27.8,25.2,22
2500,06/24/2021,17.8,10.2,21.2,21.6,25,1.18,-19.2,27.1,29.1
3400,06/24/2021,20,15.9,45.5,32.6,21.3,13.9,-7.75,28.1,34.5
3600,06/24/2021,15.5,8.99,-4.15,26.8,19.6,8.52,-12.5,24.2,27.9
4400,06/24/2021,13.6,-7.59,11,26,12.1,-5.65,-34.2,33.1,57.5
900,06/25/2021,10.8,12.9,6.05,21.2,25.8,4.97,-27.3,20,16.4
2500,06/25/2021,16.9,8.59,19.3,19,22.5,4.7,-18.7,24.1,25.5
3400,06/25/2021,18.9,15.1,45.5,28.4,18.4,12.7,-7,25.1,31.3
3600,06/25/2021,14.5,8.17,-2.1,22.6,17.3,8.72,-12,21.4,24.7
4400,06/25/2021,16.1,-5.45,-12,30.3,14,15.6,-1.99,35.9,61.3
900,06/26/2021,10.3,11.9,8.39,15.5,22.1,8.96,-26.4,16.3,12.7
2500,06/26/2021,15.3,8.03,21.1,16.8,18.7,1.43,-20.6,20.2,21.6
3400,06/26/2021,17.8,15,42.8,25.2,15.2,11.5,-6.47,22.6,29.4
3600,06/26/2021,13.3,6.79,-0.681,20.1,13.6,11.5,-11.3,18.3,22.2
4400,06/26/2021,-3.32,-5.31,-21.5,16.3,12.6,1.63,14.8,26.1,39.2
900,06/27/2021,11.5,10.1,10.4,14.9,18.4,14.5,-23.3,17.1,16.3
2500,06/27/2021,14.8,7.4,20.9,17.2,16.9,6.03,-17.9,18.4,19.7
3400,06/27/2021,16.7,13.1,39.2,24.8,12.4,9.92,-5.53,20.6,28.2
3600,06/27/2021,12.8,6.32,-0.678,19.7,11,13.6,-10.4,16.5,21.1
4400,06/27/2021,-2.54,-5.4,-22.4,5.55,11.7,16.3,27,22.2,31.8
900,06/28/2021,11.8,11.6,16.3,11,18.2,18.8,-24.4,14.1,11.4
2500,06/28/2021,14.4,7.2,20.3,18.8,15.4,6.67,-11.1,17.3,19.2
3400,06/28/2021,16.5,12.7,37.2,24.9,13.1,11.9,-6.14,21.5,29.4
3600,06/28/2021,13.1,7.54,-0.569,19.7,11.7,14.1,-9.8,17.2,21.7
4400,06/28/2021,-3.57,-6.5,-13.9,4.97,6.55,7.85,6.25,17.3,27.3
900,06/29/2021,11.8,12.3,10.2,8.94,18.8,14.2,-24.3,12.8,9.06
2500,06/29/2021,14.8,7.59,23.2,17.3,15.2,9.15,-9.68,16.4,17.8
3400,06/29/2021,16.4,13.8,37.1,24.3,13.9,8.89,-5.53,21.6,28.7
3600,06/29/2021,12.8,9.07,1.82,19,11.9,19.5,-11.5,17.2,21.7
4400,06/29/2021,-0.099,-0.862,-12.6,0.0992,12.7,25,16.9,17.2,20.4
900,06/30/2021,11.4,10.6,8.74,9.52,19.5,11.6,-24.9,13.4,9.51
2500,06/30/2021,15.1,9.77,19.8,14.4,14.9,15.1,-14.5,16.2,17.6
3400,06/30/2021,16.5,12.9,36.3,23.2,14.8,8.55,-5.55,21.3,27.4
3600,06/30/2021,13.4,8.69,-0.688,19.2,13.4,21.3,-11.2,17.7,21.4
4400,06/30/2021,2.84,-4.08,-24,-1.96,14.5,19.8,35.1,17,18.4
900,07/01/2021,10.9,11,-4.27,7.48,17.2,14.4,-20.2,11.6,8.04
2500,07/01/2021,15,10.1,7.25,15.2,15.6,19.6,-16.9,16.5,17.6
3400,07/01/2021,16,12.8,22.5,23,14.7,6.94,-6.55,21.3,27.5
3600,07/01/2021,13.6,8.87,-1.65,19.5,13.8,21,-11,17.8,21.3
4400,07/01/2021,8.16,-4.69,-37.3,-5.08,16.4,8.74,56.3,14.8,12.6
900,07/02/2021,9.17,7.62,-8.51,11.2,16.5,7.88,-19.7,11.9,8.94
2500,07/02/2021,15.4,11,-0.488,17.9,15.4,24.4,-15.9,18.7,22.5
3400,07/02/2021,16,10.9,20.4,24.4,15.3,8.87,-9.83,22.1,28.5
3600,07/02/2021,13.5,7.56,-6.55,21.7,13.4,18.6,-13.8,17.8,21.8
4400,07/02/2021,12,-5.58,-27.8,-3.49,9.61,16.8,35,11.8,13.5
900,07/03/2021,7.24,8.05,-12.4,11.2,10.5,8.12,-20.7,8.82,7.65
2500,07/03/2021,13.9,8.3,-5.79,16.7,8.29,34.4,-11.7,14.3,21.1
3400,07/03/2021,14.9,8.9,16.7,24.4,12.4,10.2,-11.5,20.1,27.6
3600,07/03/2021,11.6,4.97,-12.2,19.1,8.47,21.5,-15.7,14.6,20.2
4400,07/03/2021,28.7,-9.98,-32.8,0.0578,5.24,43.1,48.4,14.3,23.7
900,07/04/2021,14.3,8.14,-8.41,12.7,15.4,23.7,-17.8,13.1,11.6
2500,07/04/2021,20.6,11.4,-2.74,21.5,13.1,50.7,-11.3,20.1,28
3400,07/04/2021,20.4,10.1,22.2,25.6,13.2,29.7,-11.8,22,30.5
3600,07/04/2021,17.4,5.26,-6.8,23.7,10.1,42,-13,18.1,25.4
4400,07/04/2021,21.4,-4.34,-43.6,8.42,6.99,20.7,45.4,15.8,24.8
900,07/05/2021,8.04,11.4,-13.8,13.4,17.9,-2.86,-15.5,12.2,8.65
2500,07/05/2021,16.8,14.7,0.464,21.6,18,28,-19,21.8,26.1
3400,07/05/2021,15.4,14.9,21.3,25.5,17,-2.65,-12.8,23,28.7
3600,07/05/2021,12.8,10.4,-6.62,22.3,13.7,11.2,-16.1,18.2,22.2
4400,07/05/2021,15.1,-2.92,-30.6,-2.64,14.7,16.8,48.9,12.5,11
900,07/06/2021,9.45,10.5,-9.7,14.9,18.1,6.63,-18.6,14.2,11.6
2500,07/06/2021,17.1,13.3,-0.136,20.2,18.5,29.7,-16.5,22,26
3400,07/06/2021,17.3,12.8,22.5,25.8,17.2,9.83,-11.6,24,30.5
3600,07/06/2021,14.3,8.71,-7.63,22.8,15.5,12.6,-12.7,19.7,23.4
4400,07/06/2021,14.4,-4.04,-38.1,1.14,7.44,12.8,53.7,14.5,21.7
900,07/07/2021,9.85,12.5,-9.32,15.3,16.5,2.29,-18.9,12.9,10.5
2500,07/07/2021,16.6,13.1,1.54,22.5,18.6,24.2,-16.4,23.8,29.4
3400,07/07/2021,17.6,13.6,23.6,27.8,16.7,10.7,-12.8,25,32.9
3600,07/07/2021,14.5,9.43,-7.33,24.5,16.5,9.21,-12.5,21.5,25.8
4400,07/07/2021,13,-3.15,-30.1,5.6,6.86,8.85,42.1,19.3,31.8
900,07/08/2021,9.28,10.6,-0.737,15.8,21.4,-9.61,-24.5,15.2,11.2
2500,07/08/2021,15.6,14.8,10.5,23.8,18.6,14,-16.7,23.9,29.7
3400,07/08/2021,16.9,14,34.7,27.4,16.1,7.93,-11.6,24.7,32.8
3600,07/08/2021,13.5,9.08,-1.64,23.8,15.8,3.73,-14.1,20.5,24.5
4400,07/08/2021,9.68,-2.17,-15.1,3.82,11.1,4.88,49.4,20.8,30.6
900,07/09/2021,10,13.5,4.47,14,20.7,-8.29,-24.9,14.7,11
2500,07/09/2021,14.4,14,16.4,22,16.8,6.36,-15.9,20.9,25.2
3400,07/09/2021,17,16.4,37.7,28.4,14.5,5.12,-9.8,24,33.1
3600,07/09/2021,13,10,2.71,23,15.2,2.72,-13.8,20.4,24.8
4400,07/09/2021,3.03,-1.48,-18.9,-1.06,11.9,0.917,52,15.4,18.9
900,07/10/2021,9.4,13.5,-1.84,16.5,21.2,-12,-24.5,15.9,12.5
2500,07/10/2021,13.1,14.8,10.4,23.8,17.1,3.32,-14.2,21.3,25.9
3400,07/10/2021,15.9,16.1,36.9,28.3,12.7,0.337,-6.66,22.9,32.7
3600,07/10/2021,11.5,11.3,-0.208,22,14.2,-2.8,-14.4,18.6,22.2
4400,07/10/2021,13.8,-4.15,-5.8,9.83,14.7,-3.05,32.7,18.3,21.9
900,07/11/2021,8.58,11.9,-4.54,17.3,22.9,-15.6,-24.1,17.6,14
2500,07/11/2021,12.1,12.7,8.51,22.7,17.1,-6.76,-14.9,22.1,27.4
3400,07/11/2021,15.5,15.5,37.3,30.1,12.5,-2.65,-8.11,24,35
3600,07/11/2021,11.2,11.4,-1.49,24.1,14.7,-10.7,-15.1,19.9,24.2
4400,07/11/2021,9.38,-8.11,3.22,17.6,13.1,-7.01,25,17,20.7
900,07/12/2021,10.7,13.9,-1.58,18.3,24.9,-10.1,-23.3,18.6,14.6
2500,07/12/2021,13,14,8.74,21.5,17.7,0.237,-18.4,22,26.6
3400,07/12/2021,16.8,15.7,39.3,32.3,12.2,-1.6,-7.86,24.6,36.5
3600,07/12/2021,12.2,11.1,0.649,25.8,15.2,-6.47,-15.8,20.8,25.4
4400,07/12/2021,12.9,-6,-10.9,15.4,18.1,8.97,67.8,19.2,20.2
900,07/13/2021,9.97,9.94,-3.82,19.6,22,-7.93,-23,18,15.3
2500,07/13/2021,11.2,12.4,6.73,23.8,13.6,-0.572,-19.6,20.6,27.9
3400,07/13/2021,15.2,13,37.4,33.5,9.42,-1.12,-8.99,23,36
3600,07/13/2021,11.6,9.86,1.12,26.7,12.9,-2.04,-15.7,19.5,25.1
4400,07/13/2021,14.5,-5.24,13.9,25.5,20.9,29.6,94.9,24,26.9
900,07/14/2021,8.9,8.63,-4.87,17.8,20.4,-4.28,-19.9,17.5,15.5
2500,07/14/2021,11.9,12.1,4.56,24.8,13.2,-0.354,-19.4,19.2,25.6
3400,07/14/2021,14.4,12.6,34.6,33,8.35,-1.65,-8.84,22.1,35.4
3600,07/14/2021,10.7,9.49,-0.316,25.6,11.2,2.16,-16.9,17.9,23.6
4400,07/14/2021,14.2,-3.71,9.47,23.2,21.1,-9.13,64.4,20.3,19.8
900,07/15/2021,7.93,10.3,-3.83,18.5,17.8,1.91,-21.8,17.4,16.9
2500,07/15/2021,12.3,13.3,0.775,23,12.2,9.79,-18.2,17.4,22.8
3400,07/15/2021,15,13,33.5,33.9,8.46,1.23,-8.71,22.4,36
3600,07/15/2021,11.7,10.6,2.2,27.7,11.5,4.48,-16.4,19.2,25.8
4400,07/15/2021,13.1,-4.21,-6.85,19,17.4,-9.84,36.4,18.3,19.5
900,07/16/2021,7.89,10.8,7.7,20.2,20.9,8.13,-20.7,18,16
2500,07/16/2021,11.9,14.8,2.11,23.6,13.8,16.1,-21.4,18.2,22.7
3400,07/16/2021,15.2,12.5,32.8,33.4,9.13,2.91,-5.54,22.8,36
3600,07/16/2021,12.6,11.7,6.9,27.8,11.7,9.4,-14,19.2,25.6
4400,07/16/2021,10.6,-4.06,-3.02,12.5,23.6,-10.5,39.1,21.6,20.1
900,07/17/2021,7.89,11.7,12.4,19.6,20.4,11.8,-22.8,18.4,17
2500,07/17/2021,12.7,16.2,8.92,22.9,14.3,15.6,-22.8,17.8,21.3
3400,07/17/2021,15.9,13.2,29.8,32.7,10.4,8.32,-6.72,22.9,34.9
3600,07/17/2021,13.5,11.8,8.01,28.4,12.2,11.1,-13.5,20.4,27.5
4400,07/17/2021,13.1,-0.144,-8.95,7.95,24.8,-11.3,49.5,22.2,20.2
900,07/18/2021,9.15,13.2,16.8,20.2,22.7,13.1,-25.4,19.5,17.4
2500,07/18/2021,14,18.8,13,25.8,15,16.7,-24.4,18.5,22
3400,07/18/2021,17.2,14.8,28.7,32.8,12.2,11.3,-4.21,23.7,34.7
3600,07/18/2021,14,12.6,9.75,28.4,12.5,18.8,-13.3,20.4,27.2
4400,07/18/2021,14.7,3.01,-24.1,4.66,28.7,-12,70.3,25.3,23
900,07/19/2021,9.01,12.8,15.1,22.1,23.2,10,-26.4,21.2,20
2500,07/19/2021,14,17.7,14.2,28.2,15,16.7,-24,19.3,23.7
3400,07/19/2021,17.6,15.8,26.2,31.9,13.5,12.3,-4.45,23.9,33.8
3600,07/19/2021,14.1,12.1,8.93,28.3,12.8,19.8,-13.6,20.8,27.8
4400,07/19/2021,14.3,1.89,-24.1,4.48,28.2,-16.2,69.4,22.9,18.5
900,07/20/2021,9.15,12.9,19.4,20.4,21.1,9.18,-29.3,19.3,18.1
2500,07/20/2021,14.4,18.1,14.7,26.8,16.5,16.4,-23.5,19.4,22.3
3400,07/20/2021,17.9,16.5,24,31.5,13.9,10.6,-4.3,24.1,33.7
3600,07/20/2021,14.1,12.4,9.28,28.3,13.5,18.4,-15.7,21.4,28.4
4400,07/20/2021,11.8,-0.406,-22.6,-7.09,26.9,-30.5,31,17.2,8.26
900,07/21/2021,8.85,13.3,18.6,20.4,24,9.75,-33.2,19.3,16.4
2500,07/21/2021,13.9,18.6,17.1,26,17.9,18.7,-24.6,20.3,22.8
3400,07/21/2021,18,16.8,25.6,30.4,15.1,10.9,-4.02,24.3,33.1
3600,07/21/2021,14.4,13.2,10.7,28.8,14.2,15,-14.1,22.3,29.4
4400,07/21/2021,11.4,2.43,-25.5,-8.5,28.8,-37.9,65.6,16.3,4.44
900,07/22/2021,11,13.2,26.9,22.9,23.7,16.3,-31.2,19.4,16.7
2500,07/22/2021,14.6,16.8,26,25,18.4,18.6,-27.5,21.6,25.1
3400,07/22/2021,18.8,16.4,29.5,30.2,16.7,13.3,-4.24,25.8,34.6
3600,07/22/2021,14.5,13.5,10.8,27.1,14.4,15.6,-12.8,22,28.7
4400,07/22/2021,10.8,1.95,-14.8,-6.93,28.8,-47,141,15.1,1.98
900,07/23/2021,11.6,13.7,13.4,23.8,21.9,17.1,-35.7,20.9,20.3
2500,07/23/2021,15.8,16.2,24.6,23.1,19.4,20.9,-25.2,22.8,26.4
3400,07/23/2021,19.2,17.3,30.9,29.3,17.2,16,-6.62,25.5,33.5
3600,07/23/2021,13.8,13.3,1.34,26.9,14.7,10.6,-14.9,21.9,28.1
4400,07/23/2021,12.8,5.19,-27.8,-2.92,24.7,-29.5,92.3,16,7.77
900,07/24/2021,12.4,13.2,13.2,21.8,21,19.6,-33.6,19.3,18.2
2500,07/24/2021,15.8,12.7,20.2,22.2,16.9,22.6,-18.6,21.7,27.1
3400,07/24/2021,19.1,17.2,33,29,17.2,13.8,-7.62,25.5,33.4
3600,07/24/2021,13.4,12.6,0.0089,25.6,14,9.73,-16.1,21.1,27.2
4400,07/24/2021,13.9,3.62,-30.9,-1.11,21.7,-9.17,115,16.7,11.9
900,07/25/2021,12.3,11.9,4.82,22.9,20.2,16,-32.5,20,19.8
2500,07/25/2021,15.7,11.2,15.9,23.2,17.3,27,-15.8,21.8,26.8
3400,07/25/2021,18.3,15.9,32.5,28.6,16.1,12.7,-7.38,24.3,32.2
3600,07/25/2021,13.3,10.4,-3.29,25.9,14.1,8.22,-15.8,21.3,27.6
4400,07/25/2021,7.57,-11.2,-31.8,3.27,16.9,-10.2,42.2,14.2,11.8
900,07/26/2021,11.1,10.6,-0.0154,20.6,18,14.3,-31.9,18.2,18.3
2500,07/26/2021,16,10.7,15.7,21.1,17.6,27.3,-13.9,21.9,26.6
3400,07/26/2021,17.9,15.5,31.9,27.8,16.2,11.6,-7.38,24.3,32.1
3600,07/26/2021,13,11.7,-4.91,25.4,13.9,6.63,-16.3,21,27.3
4400,07/26/2021,4.96,-13.3,-24.1,8.07,15.8,-22.7,-11.7,14.9,14.5
900,07/27/2021,11.7,12.3,-3.6,20.7,20.6,12.3,-28.5,20.5,20.4
2500,07/27/2021,15.5,10.1,13.7,21.1,17.5,29.4,-15.7,21.9,26.8
3400,07/27/2021,17.4,14.9,32.6,26.6,16.8,14.1,-6.83,24,30.9
3600,07/27/2021,12.3,11.4,-7.72,24.4,13.8,6.64,-16.2,21,27.3
4400,07/27/2021,6.07,-14.8,-9.39,10.9,20.3,-6.04,-7.39,18.6,17.1
900,07/28/2021,13.1,13,-5.42,21.4,19.8,11.7,-24.7,21.5,22.6
2500,07/28/2021,14.8,10,11,18.7,17.4,30.9,-11.2,20.6,24.3
3400,07/28/2021,17.4,15.5,30.2,26.1,16.7,14.9,-8.29,23.5,30.1
3600,07/28/2021,11.8,10.5,-8.3,23.2,12.9,7.44,-19.1,20.2,26.5
4400,07/28/2021,3.57,-16,-16.3,10,18.4,-5.9,-23.4,17.2,16.3
900,07/29/2021,12.6,12.9,-7.21,19.7,19.8,5.42,-23.9,23.3,25.7
2500,07/29/2021,15,8.55,13.4,19.5,17.6,27.9,-2.28,20.8,24.3
3400,07/29/2021,16.5,15.1,28.1,24.8,15.5,18.3,-9.3,22,28.3
3600,07/29/2021,12,9.89,-8.57,23.6,13.4,6.75,-21.1,20.3,26.3
4400,07/29/2021,7.59,-18.6,-10.8,14.8,17.7,60.4,-35.8,20.3,23.4
900,07/30/2021,13.8,14.2,-1.44,18.1,21.5,4.74,-19.1,23.2,24.3
2500,07/30/2021,15.2,9.04,12.3,21.9,18.3,19.9,-6.81,20.8,23.6
3400,07/30/2021,16.2,14.6,28.9,24.6,16,17.4,-8.32,22.5,28.8
3600,07/30/2021,13.1,9.9,-5.96,24.6,14.3,13,-18.7,21.2,27.2
4400,07/30/2021,9.83,-18.8,-0.726,16.6,18.5,33.9,-5.23,18.3,18.3
900,07/31/2021,14.4,16.8,-0.472,19.7,23.9,8.09,-21.6,24.5,25
2500,07/31/2021,14.7,10.1,15.1,21.8,20.3,17.2,-14.6,21.7,23.2
3400,07/31/2021,16.9,15.7,31.2,26.2,17.3,18.3,-8.41,24,30.4
3600,07/31/2021,13.6,11,-2.71,25.9,15,17.3,-18.3,21.8,27.8
4400,07/31/2021,10.5,-19.4,-2.14,14.8,19.4,26.2,-19.2,21.3,23.4
900,08/01/2021,11.4,16.2,-6.1,15.1,21.2,9.19,-22.4,20.3,19.7
2500,08/01/2021,13.5,9.22,4.36,18.1,20.4,14.3,-17.9,20.6,20.9
3400,08/01/2021,15.8,16,17.4,26.7,17.9,19,-12.8,24.7,31.3
3600,08/01/2021,13.2,13,-6.71,25.1,15.5,17.3,-18.8,22,27.6
4400,08/01/2021,14.3,-4.68,-5.27,8.43,20.1,23.9,-7.47,20.2,20.4
900,08/02/2021,12.3,16.7,-3.84,16.7,22.7,11.8,-19.7,21.4,20.4
2500,08/02/2021,13.7,7.94,4.96,19.1,21,19,-17.7,21.6,22.2
3400,08/02/2021,16.9,15.9,19.6,27.6,17.8,24.1,-10.8,24.8,31.4
3600,08/02/2021,14.1,12.8,-6.58,24.5,16.3,18.5,-17.9,21.8,26.5
4400,08/02/2021,12,-6.36,-10.5,3.27,22.2,24.9,23.2,21.7,21.4
900,08/03/2021,13.2,16.8,-1.03,17.2,22.6,17.7,-18.5,21,19.9
2500,08/03/2021,15.5,8.15,7.36,19,21.8,20.7,-14,23,24.2
3400,08/03/2021,17.8,14.9,23.2,27.2,17.9,24.7,-9.18,24.8,31.3
3600,08/03/2021,16.1,12.9,-2.52,24.8,17.4,18.9,-15.2,22.4,26.7
4400,08/03/2021,14.9,-6.66,-21.3,1.68,17,21.3,19,15.4,13.8
900,08/04/2021,14.2,17.7,2.24,20.5,23.6,16.4,-23.2,23.1,22.7
2500,08/04/2021,16.5,7.1,8.21,21.3,22,17.1,-15.7,25.3,28.7
3400,08/04/2021,18.3,13.7,23.1,29.8,17.7,24.7,-6.36,25.5,33
3600,08/04/2021,17,13.7,-2.69,26.4,17.8,18.1,-13.7,23,27.6
4400,08/04/2021,18.4,-6.62,-19.5,5.79,16.1,20.5,40.5,16.1,16.3
900,08/05/2021,13.2,14.5,0.0243,21.6,23.2,10.6,-24.5,21.2,19.9
2500,08/05/2021,16.2,7.22,3.59,23.6,21.4,20.6,-21.2,25.1,28.9
3400,08/05/2021,18.5,13.2,22.5,31.7,17.5,21.2,-5.02,26,34
3600,08/05/2021,16.6,12.7,-3.6,26.5,17.1,16.4,-14.3,22.7,27.5
4400,08/05/2021,17.7,-6.17,-24.6,7.39,18.7,24.4,35.9,17.2,15.8
900,08/06/2021,12,10.7,-2.32,21.9,20.8,9.18,-29.4,19.2,18.2
2500,08/06/2021,16.2,6.8,6.7,22.5,20.1,24.7,-16.9,24.7,29.4
3400,08/06/2021,18.7,12.3,20.3,31.7,16.5,21.3,-2.78,25.4,33.8
3600,08/06/2021,16,11.9,-3.58,24.8,16.7,11.9,-16.7,22,26.4
4400,08/06/2021,17.4,-8.89,-29.3,5.13,18.9,34.1,38.4,16.5,14.2
900,08/07/2021,10.3,6.51,-3.46,21.8,19.7,-0.626,-30.4,19.1,18.7
2500,08/07/2021,16.3,6.98,4.08,21.3,19.5,31.1,-11.6,24.3,29.2
3400,08/07/2021,18.7,9.9,20.8,31.2,16,21.2,-0.343,25.1,33.7
3600,08/07/2021,15.9,10.5,-6.25,22.1,16.7,10.5,-16.8,21.4,25.2
4400,08/07/2021,16.8,-9.96,-23.3,6.9,18.8,49.5,66.7,15.6,12.4
900,08/08/2021,12.6,7.55,5.85,24.8,21.2,-6.98,-31.3,22.6,23.4
2500,08/08/2021,16.9,8.74,17.9,21.5,18.3,26.8,-7.99,24.4,30.6
3400,08/08/2021,19.8,8.94,31.6,30.2,15.3,21.9,4.45,24.6,33.4
3600,08/08/2021,16.2,8.7,0.336,22,16.3,10.4,-17.5,20.5,24
4400,08/08/2021,16.9,-11.4,-21,10.1,16.5,40.2,85.5,14.9,13.8
900,08/09/2021,11.8,7.99,3.77,24.7,20.9,-8.09,-33.9,21.5,21.9
2500,08/09/2021,15.9,11.2,17,20.4,17.3,24.2,-9.08,21,24.6
3400,08/09/2021,18.9,8.51,31,30.7,14.7,20.8,2.2,24.2,33.2
3600,08/09/2021,16.5,8.3,0.917,23,16.5,8.88,-17.9,21.1,24.9
4400,08/09/2021,23.3,-6.8,-16.1,12.4,18.8,59.1,108,13.2,7.58
900,08/10/2021,10.7,6.79,0.468,24.8,20.3,-11.8,-37.6,21.8,22.8
2500,08/10/2021,14.3,10.4,14.7,21.3,17.8,19.8,-12.8,19.4,20.8
